huvCode,huvName,coverageStatus,proposalCount,signalCount,crosswalkCount,diagnosisPolicy,diagnosisReviewRequired,unsupportedSignalCount,aiRescueEligible
02.01361,"Enjeksiyon, intramusküler/subkutan/intrakutan",diagnosis_context_only,0,0,0,review_required,True,0,True
02.02041,"Enjeksiyon, intramusküler (IM), evde",proposed,1,1,1,review_required,True,0,False
02.03401,"Enjeksiyon, intravenöz , evde",proposed,3,3,1,review_required,True,0,False
02.04081,"Enjeksiyon, intravenöz, yenidoğan",diagnosis_context_only,0,0,0,review_required,True,0,True
02.30261,"Elektrokardiyogram (12 derivasyonlu, sadece EKG trase çekimi)",diagnosis_context_only,0,0,0,not_required,False,0,True
03.25503,Apne testi,diagnosis_context_only,0,0,0,review_required,True,0,True
03.98277,Transözofageal ekokardiyografi,diagnosis_context_only,0,0,0,review_required,True,0,True
03.98588,Peroperatif transözofageal ekokardiyografi,diagnosis_context_only,0,0,0,review_required,True,0,True
03.98744,Peroperatif transözafageal epiaortik ultrasonografi ile aortanın değerlendirilmesi,proposed,1,6,1,review_required,True,5,False
06.01575,"Deri ve mukoza smear`leri, direkt",proposed,1,1,1,review_required,True,0,False
06.02362,"Deri pH ölçülmesi, deri tipi tayini",diagnosis_context_only,0,0,0,review_required,True,0,True
06.03149,Wood ışığı muayenesi,diagnosis_context_only,0,0,0,review_required,True,0,True
06.03936,"Deri ve mukoza smear`leri (giemsa, wright, gram vb)",proposed,1,2,1,review_required,True,1,False
06.04723,Mantar aranması,diagnosis_context_only,0,0,0,review_required,True,0,True
06.05510,"Mantar kültürü yapılması, her biri",diagnosis_context_only,0,0,0,review_required,True,0,True
06.06297,Karanlık saha testi (spiroket aranması),diagnosis_context_only,0,0,0,review_required,True,0,True
06.07084,Paterji testi,diagnosis_context_only,0,0,0,review_required,True,0,True
06.07871,Demodeks/sarkopt aranması,proposed,1,1,1,review_required,True,0,False
06.08264,Cilde tutunmuş kene vb. böcek (arachnida) çıkarılması,proposed,1,1,1,review_required,True,0,False
06.10232,"Dermatoskopi, lezyon başına",diagnosis_context_only,0,0,0,review_required,True,0,True
06.11019,Bilgisayarlı dermatoskopi (tüm vücut ben haritasının çıkarılması),proposed,2,4,1,review_required,True,1,False
06.40925,"İlaç ve gıdalarla provokasyon testi, her biri",proposed,1,1,1,review_required,True,0,False
06.41712,Otolog serum testi,proposed,1,1,1,review_required,True,0,False
06.42499,"Deri prick testi, her biri",diagnosis_context_only,0,0,0,review_required,True,0,True
06.43286,"Deri yama testi, madde başına",diagnosis_context_only,0,0,0,review_required,True,0,True
06.44073,"Foto-deri yama testi, madde başına",proposed,1,3,1,review_required,True,2,False
07.01587,Sıcak-soğuk paket uygulaması,proposed,1,2,1,review_required,True,1,False
07.02380,İnfraruj,proposed,1,1,1,review_required,True,0,False
07.03173,Parafin,diagnosis_context_only,0,0,0,review_required,True,0,True
07.03966,Fluidoterapi,diagnosis_context_only,0,0,0,review_required,True,0,True
07.05552,Ultrason,diagnosis_context_only,0,0,0,review_required,True,0,True
07.06345,Kısa dalga diatermi,diagnosis_context_only,0,0,0,review_required,True,0,True
07.07138,Mikrodalga diatermi (radar),signals_only,0,1,1,review_required,True,1,True
07.07931,Manyetik alan tedavisi,signals_only,0,1,1,review_required,True,1,True
07.08724,"Ekstrakorporeal şok dalga tedavisi (ESWT), seansı",proposed,1,4,1,review_required,True,3,False
07.09517,"Ultraviyole (lokal, genel)",diagnosis_context_only,0,0,0,review_required,True,0,True
07.11103,"Alçak ve orta frekanslı akımlar (galvani, faradi, tens, diadinami, interferans, vb), her biri",proposed,1,1,1,review_required,True,0,False
07.11896,Lazer terapi,diagnosis_context_only,0,0,0,review_required,True,0,True
07.12292,"Yüksek Yoğunluklu Lazer tedavisi (HIL Terapi, vb), seansı",proposed,1,1,1,review_required,True,0,False
07.12689,Vakum ile elektroterapi,proposed,1,1,1,review_required,True,0,False
07.14275,Ultrason veya elektroterapi ile,diagnosis_context_only,0,0,0,review_required,True,0,True
07.15861,Elektrik akımı ile motor nokta kas stimülasyonu (faradi akım vb),diagnosis_context_only,0,0,1,review_required,True,0,True
07.16654,"Elektrik akımı ile kuvvetlendirme programları (atrofi ve spastisite tedavisi, compex vb)",diagnosis_context_only,0,0,1,review_required,True,0,True
07.17447,EMG biofeedback,diagnosis_context_only,0,0,0,review_required,True,0,True
07.18240,FES (Fonksiyonel Elektrik Stimülasyonu),diagnosis_context_only,0,0,0,review_required,True,0,True
07.19826,"Çalkantılı su banyosu (Hubard tank, whirlpool)",proposed,1,1,1,review_required,True,0,False
07.20619,Havuz tedavisi,proposed,1,1,1,review_required,True,0,False
07.21412,"Balneoterapi ve Fango uygulamaları, genel",proposed,1,2,1,review_required,True,1,False
07.22205,"Balneoterapi ve Fango uygulamaları, lokal",diagnosis_context_only,0,0,0,review_required,True,0,True
07.22998,"Özel banyolar (kükürt, inhalasyon, vb)",proposed,1,2,1,review_required,True,1,False
07.24584,"Klasik masaj, bölgesel",diagnosis_context_only,0,0,0,review_required,True,0,True
07.25377,"Klasik masaj, genel",diagnosis_context_only,0,0,0,review_required,True,0,True
07.26170,Konnektif doku masajı,diagnosis_context_only,0,0,1,review_required,True,0,True
07.26963,"Spinal manipülasyon, seansı",proposed,1,2,1,review_required,True,1,False
07.27756,Yumuşak dokuda manipülatif uygulamalar (Miyofasiyal germe / Graston),diagnosis_context_only,0,0,1,review_required,True,0,True
07.28549,Traksiyon,signals_only,0,1,1,review_required,True,1,True
07.28561,"Spinal dekompresyon tedavisi, seansı",diagnosis_context_only,0,0,1,review_required,True,0,True
07.29342,Teypleme (taping malzeme dahil),signals_only,0,1,1,review_required,True,1,True
07.30928,"Eklem içi enjeksiyon/aspirasyon, tek eklem",proposed,2,4,1,review_required,True,2,False
07.31721,"Eklem lavajı, tek eklem",diagnosis_context_only,0,0,0,review_required,True,0,True
07.32514,"Ağrılı nokta enjeksiyonu (tetik nokta, miyofasiyal / paravertebral adale, vb)",proposed,1,4,1,review_required,True,3,False
07.33307,Tuzak nöropati / tetik nokta / tendon kılıfı / ligament enjeksiyonu,proposed,1,4,1,review_required,True,3,False
07.34100,"Akupunktur, seansı",proposed,2,4,1,review_required,True,2,False
07.34893,"Sinir blokları, periferik/dijital, tek sinir",proposed,1,3,1,review_required,True,2,False
07.35686,"Faset eklem enjeksiyonu (servikal/torakal/lomber), tek eklem",proposed,2,4,1,review_required,True,2,False
07.37272,"Botulinum toksini (botoks vb) enjeksiyonu, tek bölge, ilaç hariç",diagnosis_context_only,0,0,0,review_required,True,0,True
07.38065,"Botulinum toksini (botoks vb) enjeksiyonu, iki bölge, ilaç hariç",proposed,3,7,1,review_required,True,4,False
07.39651,"Vasotraine, intermittan kompresyon terapi",signals_only,0,1,1,review_required,True,1,True
07.41237,ROM egzersizi (eklem hareket açıklığı egzersizi),diagnosis_context_only,0,0,0,review_required,True,0,True
07.42030,Kas kuvvetlendirme egzersizi,proposed,2,4,1,review_required,True,2,False
07.42823,Postür egzersizleri,proposed,2,4,1,review_required,True,2,False
07.43616,Germe egzersizleri,diagnosis_context_only,0,0,0,review_required,True,0,True
07.44409,Lomber stabilizasyon egzersizleri,proposed,2,4,1,review_required,True,2,False
07.45202,Monitörizasyon altında aerobik egzersiz,proposed,2,5,1,not_required,False,3,False
07.45995,Gözetmeli grup egzersizi,diagnosis_context_only,0,0,0,review_required,True,0,True
07.47581,Skolyozda üç boyutlu egzersiz ve rehabilitasyon,proposed,1,3,1,review_required,True,2,False
07.48374,Solunum rehabilitasyonu amaçlı egzersiz (postural drenaj+manuel uyarma),proposed,1,3,1,review_required,True,2,False
07.48770,Pulmoner Rehabilitasyon,proposed,1,3,1,review_required,True,2,False
07.49167,Kardiyak rehabilitasyon amaçlı egzersiz,proposed,1,4,1,review_required,True,3,False
07.49960,Artroplasti rehabilitasyonu amaçlı egzersiz,proposed,1,4,1,review_required,True,3,False
07.50753,"Ortopedik rehabilitasyon amaçlı egzersiz (çapraz bağ, kırık sekeli, menisektomi)",proposed,1,3,1,required_any,True,2,False
07.51546,Multipl skleroz rehabilitasyonu ve egzersizi,proposed,1,3,1,review_required,True,2,False
07.52339,Parkinson rehabilitasyonu ve egzersiz,proposed,1,3,1,review_required,True,2,False
07.52735,"Geriatrik Rehabilitasyon (75-84 yaş / orta yaşlı), seansı",proposed,2,3,1,review_required,True,1,False
07.52933,"Geriatrik Rehabilitasyon (85 ve üstü yaş / ileri yaşlı), seansı",proposed,2,3,1,review_required,True,1,False
07.53132,Kas hastalıklarında egzersiz,proposed,1,2,1,required_any,True,1,False
07.53925,"Serebro vasküler olayda egzersiz uygulamaları (PNF, Brunstroom, Bobath, vb)",proposed,1,3,1,review_required,True,2,False
07.54718,Spinal kord lezyonunda rehabilitasyon uygulamaları,proposed,1,3,1,review_required,True,2,False
07.55114,"Robotik Rehabilitasyon, seansı",proposed,1,2,1,review_required,True,1,False
07.55511,Polio`da rehabilitasyon ve egzersiz,proposed,1,2,1,review_required,True,1,False
07.55907,Yürüme rehabilitasyonu ve egzersizi,proposed,1,3,1,review_required,True,2,False
07.56304,Brakiyal pleksus rehabilitasyonu,proposed,1,3,1,review_required,True,2,False
07.57097,"Serebral palside rehabilitasyon ve egzersiz (özel egzersiz, Vojta, vb)",proposed,1,3,1,review_required,True,2,False
07.57890,Travmatik beyin hasarında rehabilitasyon ve egzersiz,proposed,1,2,1,required_any,True,1,False
07.58683,Ampüte rehabilitasyonu,diagnosis_context_only,0,0,0,review_required,True,0,True
07.59476,El rehabilitasyonu egzersizi (RA vb),proposed,1,3,1,review_required,True,2,False
07.60269,Majör eklem replantasyonu rehabilitasyonu,proposed,1,4,1,review_required,True,3,False
07.61062,Parmak replantasyonu rehabilitasyonu,proposed,1,3,1,review_required,True,2,False
07.61855,Tek tendon sinir rehabilitasyonu,proposed,1,3,1,review_required,True,2,False
07.62648,Multipl tendon/multipl sinir rehabilitasyonu,proposed,1,3,1,review_required,True,2,False
07.63441,Lenfödem kompleks boşaltıcı tedavi ve bandajlama,proposed,1,2,1,review_required,True,1,False
07.64234,"Havuzda terapistle egzersiz, bireysel",diagnosis_context_only,0,0,0,review_required,True,0,True
07.65027,"Havuzda terapistle egzersiz, grup",diagnosis_context_only,0,0,0,review_required,True,0,True
07.66613,Devamlı pasif hareket ile egzersiz (CPM),diagnosis_context_only,0,0,0,review_required,True,0,True
07.67406,İzokinetik egzersiz,proposed,1,2,1,review_required,True,1,False
07.68199,"Rehabilitasyon amacı ile kullanılan yardımcı cihaz eğitimi (özel donanımlı, tekerlekli sandalye, adaptif teknoloji kullanımı)",proposed,1,2,1,review_required,True,1,False
07.68992,Mesleki rehabilitasyon,proposed,1,1,1,review_required,True,0,False
07.69785,Protez eğitimi,diagnosis_context_only,0,0,0,review_required,True,0,True
07.70578,Kinetik ve kinematik bilgisayar destekli yürüme analizi,diagnosis_context_only,0,0,0,review_required,True,0,True
07.71371,Yürüme analizi,diagnosis_context_only,0,0,0,review_required,True,0,True
07.72164,Ayak taban basıncı değerlendirilmesi,proposed,1,1,1,review_required,True,0,False
07.72560,İzokinetik dinamometrik ölçüm,proposed,1,1,1,review_required,True,0,False
07.72957,"Konuşma terapisi, seansı",diagnosis_context_only,0,0,0,review_required,True,0,True
07.73750,Bel okulu,diagnosis_context_only,0,0,0,review_required,True,0,True
07.74543,Boyun okulu,diagnosis_context_only,0,0,0,review_required,True,0,True
07.75336,İş uğraşı tedavisi,diagnosis_context_only,0,0,0,review_required,True,0,True
07.77715,İşitsel Uyarılmış Potansiyeller (BAEP),diagnosis_context_only,0,0,0,review_required,True,0,True
07.78508,"Motor uyarılmış potansiyeller (MEP), dört ektremite",diagnosis_context_only,0,0,0,review_required,True,0,True
07.79301,P 300,diagnosis_context_only,0,0,0,review_required,True,0,True
07.80094,"Somatosensoryel Uyarılmış Potansiyeller (SEP), dört ektremite",diagnosis_context_only,0,0,0,review_required,True,0,True
07.80887,Vizüel Uyarılmış Potansiyeller (VEP),diagnosis_context_only,0,0,0,review_required,True,0,True
07.81680,"EMG, mononöropati",signals_only,0,1,1,review_required,True,1,True
07.82473,"EMG, genel",diagnosis_context_only,0,0,0,review_required,True,0,True
07.83266,Anal sfinkter incelemesi,diagnosis_context_only,0,0,1,review_required,True,0,True
07.84059,Diyafram EMG,diagnosis_context_only,0,0,1,review_required,True,0,True
07.84852,Larengeal EMG,proposed,3,3,1,review_required,True,0,True
07.85645,Sinir yakını metodu ile çalışma,signals_only,0,1,1,review_required,True,1,True
07.86438,Bulbokavernöz refleks,diagnosis_context_only,0,0,1,review_required,True,0,True
07.87231,Göz kırpma refleksi,diagnosis_context_only,0,0,1,review_required,True,0,True
07.88024,6 Dakika Yürüme (Efor/Egzersiz) Testi,diagnosis_context_only,0,0,0,review_required,True,0,True
07.88817,Hareket bozukluğu incelemesi,signals_only,0,1,1,review_required,True,1,True
07.89610,Repetetif sinir uyarımı,diagnosis_context_only,0,0,0,review_required,True,0,True
07.91196,Kalp hızı değişkenliği analizi (R-R interval varyasyonu analizi),diagnosis_context_only,0,0,0,review_required,True,0,True
07.91989,Sempatik deri cevapları,diagnosis_context_only,0,0,0,review_required,True,0,True
07.93575,Paterji testi,diagnosis_context_only,0,0,0,review_required,True,0,True
07.95161,Termografi kullanımı,diagnosis_context_only,0,0,1,review_required,True,0,True
07.95954,Kapilleroskopik değerlendirme,diagnosis_context_only,0,0,1,review_required,True,0,True
07.96747,Polarize ışık mikroskobu ile sinoviyal sıvı analizi,diagnosis_context_only,0,0,1,review_required,True,0,True
07.97540,Tanısal kas iskelet sistemi ultrasonografisi,diagnosis_context_only,0,0,1,review_required,True,0,True
07.98333,Punch biyopsi (alınması),diagnosis_context_only,0,0,0,review_required,True,0,True
07.99126,Oral bölge mukoza/dil biyopsisi,signals_only,0,1,1,review_required,True,1,True
10.03077,"Spirometri ile statik solunum fonksiyon testi (VC, FVC, FEV1, PEF, FEV1/FVC)",diagnosis_context_only,0,0,0,review_required,True,0,True
10.04615,"Akım volüm halkası (inspiratuvar, ekspiratuar akım)",proposed,3,3,1,review_required,True,0,True
10.06153,Reversibiliteli solunum fonksiyon testi,diagnosis_context_only,0,0,0,review_required,True,0,True
10.07691,Astım tanısı ve izleminde PEF takibi,proposed,3,3,1,review_required,True,0,True
10.09229,"Bronş provokasyon testi (metakolin, histamin, inhalasyonu ile)",diagnosis_context_only,0,0,0,review_required,True,0,True
10.10767,Spesifik bronş provokasyon testi,signals_only,0,1,1,review_required,True,1,True
10.12305,Helyum gazıyla difüzyon ölçümü,proposed,3,3,1,review_required,True,0,True
10.13843,Kapanış volümü (nitrojen yıkama testi),proposed,3,3,1,review_required,True,0,True
10.15381,"Rezidüel volüm, fonksiyonel rezidüel kapasite, total akciğer kapasitesi ölçümü",proposed,3,3,1,review_required,True,0,True
10.16919,Pletismografik metodla havayolu direncinin ölçümü,proposed,3,3,1,review_required,True,0,True
10.18457,Kompliyans ölçümü (statik-dinamik),proposed,3,3,1,review_required,True,0,True
10.19995,"MIP, MEP (Pİ max, PE max)",proposed,1,1,1,review_required,True,0,False
10.21533,Kardiyopulmoner egzersiz testleri,proposed,1,1,1,review_required,True,0,False
10.23071,Maksimum oksijen tüketimi,proposed,3,3,1,review_required,True,0,True
10.24609,6 Dakika Yürüme (Efor/Egzersiz) Testi,diagnosis_context_only,0,0,0,review_required,True,0,True
10.26147,Ekspirasyon havasında CO ölçümü,proposed,3,3,1,review_required,True,0,True
10.39989,"Deri prick testi, her biri",diagnosis_context_only,0,0,0,review_required,True,0,True
11.00817,3 yaş ve altı oftalmik muayene (Skiaskopi ve retina muayenesi dahil),proposed,1,1,1,review_required,True,0,False
11.01225,"Tam oftalmik muayene, genel anestezi altında (anestezi hariç)",proposed,1,2,1,review_required,True,1,False
11.01633,"Şaşılık testleri, (tüm şaşılık testleri dahil, oftalmik muayene hariç)",diagnosis_context_only,0,0,1,review_required,True,0,True
11.02041,Ultrasonik ve/veya optik korneal pakimetri,proposed,1,3,1,review_required,True,2,False
11.02449,Korneanın biyomekanik değerlendirilmesi,proposed,1,3,1,review_required,True,2,False
11.02857,Speküler mikroskopi,diagnosis_context_only,0,0,0,review_required,True,0,True
11.03265,Konfokal kornea mikroskopisi,proposed,1,3,1,review_required,True,2,False
11.03673,Kornea topografisi,diagnosis_context_only,0,0,0,review_required,True,0,True
11.04081,"Gözün wavefront analizi, aberrometri",proposed,1,2,1,review_required,True,1,False
11.04489,"Kornea topografisi, wave front analizi (Korneal aberrometri) ile birlikte",proposed,1,3,1,review_required,True,2,False
11.04897,"Ön segment ve/veya fundus tomografisi, OCT ile",diagnosis_context_only,0,0,0,review_required,True,0,True
