decision_group,code,clinical_theme,recommended_disposition,rationale,review_rows,ai_expert_decision,confidence,confidence_score,candidate_shadow_pass_occurrence_rows,row_level_full_release_rows,row_level_partial_resolution_rows,human_admin_approval_present,apply_ready,auto_apply
recommended_shadow_pilot,703790,eye_ear,prepare_shadow_only_policy_proposal_for_governance_review,"Strongest AI-only signal: high confidence, focused H-prefix cohort, no manual-prefix blocker, and measurable historical shadow-pass occurrence.",212,ai_provisional_approve_shadow_staging_specific_prefixes,high,0.9,199,16,183,False,False,False
conditional_shadow_backlog,907440,obstetric_pregnancy,keep_as_conditional_shadow_backlog_until_human_or_policy_governance_review,"AI-only conditional signal exists, but confidence is medium and most rows remain REVIEW because other review reasons still exist.",199,ai_provisional_conditional_only,medium,0.75,160,3,157,False,False,False
conditional_shadow_backlog,906510,obstetric_pregnancy,keep_as_conditional_shadow_backlog_until_human_or_policy_governance_review,"AI-only conditional signal exists, but confidence is medium and most rows remain REVIEW because other review reasons still exist.",159,ai_provisional_conditional_only,medium,0.75,146,13,133,False,False,False
guardrail_blocked_ai_approval,908115,covid_or_viral_infection,do_not_shadow_stage_without_stronger_evidence_or_human_governance,ai_provisional_approval_requires_confidence_at_least_0_85,4278,ai_provisional_approve_shadow_staging_specific_prefixes,medium,0.75,0,0,0,False,False,False
not_selected_for_shadow_preview,906620,obstetric_pregnancy,hold_for_human_or_policy_review,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,3352,ai_provisional_conditional_only,medium,0.75,0,0,0,False,False,False
not_selected_for_shadow_preview,907450,obstetric_pregnancy,hold_for_human_or_policy_review,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,3544,ai_provisional_conditional_only,medium,0.75,0,0,0,False,False,False
not_selected_for_shadow_preview,906880,non_specific_symptom_dominant,hold_for_human_or_policy_review,shadow_staging_allowed_by_ai_only_false,2522,ai_provisional_conditional_only,medium,0.75,0,0,0,False,False,False
keep_manual_review,801720,non_specific_symptom_dominant,keep_manual_review,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,4169,ai_keep_manual_review,medium,0.75,0,0,0,False,False,False
keep_manual_review,803570,non_specific_symptom_dominant,keep_manual_review,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,2612,ai_keep_manual_review,medium,0.75,0,0,0,False,False,False
keep_manual_review,530100,non_specific_symptom_dominant,keep_manual_review,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,2428,ai_keep_manual_review,medium,0.75,0,0,0,False,False,False
keep_manual_review,905670,non_specific_symptom_dominant,keep_manual_review,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,1733,ai_keep_manual_review,medium,0.75,0,0,0,False,False,False
not_selected_for_shadow_preview,906640,obstetric_pregnancy,hold_for_human_or_policy_review,shadow_staging_allowed_by_ai_only_false,1151,ai_provisional_conditional_only,medium,0.75,0,0,0,False,False,False
keep_manual_review,906780,non_specific_symptom_dominant,keep_manual_review,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,905,ai_keep_manual_review,medium,0.75,0,0,0,False,False,False
keep_manual_review,700530,cardiology_symptom_or_monitoring,keep_manual_review,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,373,ai_keep_manual_review,medium,0.75,0,0,0,False,False,False
not_selected_for_shadow_preview,701230,non_specific_symptom_dominant,hold_for_human_or_policy_review,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,197,ai_provisional_conditional_only,medium,0.75,0,0,0,False,False,False
keep_manual_review,907222,non_specific_symptom_dominant,keep_manual_review,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,180,ai_keep_manual_review,medium,0.75,0,0,0,False,False,False
guardrail_blocked_ai_approval,704530,obstetric_pregnancy,do_not_shadow_stage_without_stronger_evidence_or_human_governance,ai_provisional_approval_requires_confidence_at_least_0_85,297,ai_provisional_approve_shadow_staging_specific_prefixes,medium,0.75,0,0,0,False,False,False
keep_manual_review,803710,obstetric_pregnancy,keep_manual_review,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,211,ai_keep_manual_review,medium,0.75,0,0,0,False,False,False
not_selected_for_shadow_preview,906610,obstetric_pregnancy,hold_for_human_or_policy_review,shadow_staging_allowed_by_ai_only_false,195,ai_provisional_conditional_only,medium,0.75,0,0,0,False,False,False
mapping_backlog,16_mapping_candidates,local_huv_mapping,resolve_mapping_before_any_review_reduction_policy,Large local/HUV dotted-code volume requires canonical mapping before medical policy refinement.,,,,,0,0,0,False,False,False
