rank,code,clinical_theme,review_rows,merged_triage_category,source_risk_level,review_reduction_potential,medgemma_status,medgemma_confidence,hold_reason,prefixes_to_keep_review,medgemma_reasoning_summary,apply_ready,auto_apply
10,700540,non_specific_symptom_dominant,566,response_invalid_manual_review_required,medium_high,medium,,0.0,MedGemma response contract invalid or internally inconsistent; keep manual REVIEW.,,,False,False
11,906750,obstetric_pregnancy,490,keep_manual_review_observation,medium,medium,completed,0.95,Aggregate evidence is plausible but too broad/non-specific for review reduction.,R68;F06;Z10;J45;N39,"The aggregate diagnosis distribution is heavily skewed towards 'R' codes (Symptoms/findings), specifically R68 (Other specified symptoms and signs involving the musculoskeletal system), which constitutes 97.1% of the top diagnoses. While the top diagnoses are clinically plausible in an obstetric context (e.g., back pain, musculoskeletal issues), the lack of specific clinical context makes it difficult to assess the appropriateness of these codes without manual review. The high concentration of symptom codes warrants caution. The other diagnoses (F06.6, Z10.1, J45, N39.0, E03, Z33, R60, E55.9) are present but in much smaller numbers. The mapping assessment is 'not_needed' as the SUT code lookup was successful and the codes are present in the rules. The confidence is high due to the clear dominance of R68 and the successful lookup. However, the clinical context is missing, making it difficult to fully assess plausibility without human review. Therefore, keeping manual review observation is recommended.",False,False
14,905680,non_specific_symptom_dominant,325,response_invalid_manual_review_required,medium,medium,,0.0,MedGemma response contract invalid or internally inconsistent; keep manual REVIEW.,,,False,False
16,906630,obstetric_pregnancy,261,keep_manual_review_observation,medium,medium,completed,0.85,Aggregate evidence is plausible but too broad/non-specific for review reduction.,R53;Z33;E55;Z34;R10,"The aggregate diagnosis distribution (R53, Z33, E55.9, Z34, R10.4, D64.9, D51.9, K21, K30, J30.2) is plausible for obstetric pregnancy related codes, but the codes themselves are often broad or related to symptoms/findings/status. The top diagnoses cover a range of potential issues. Given the broad nature of some top diagnoses and the need for clinical context, keeping the current manual review process is recommended for observation and safety. The confidence is high due to the presence of the code in rules and the plausible distribution, but the lack of specificity warrants continued manual review.",False,False
19,906660,obstetric_pregnancy,213,keep_manual_review_observation,medium,medium,completed,0.85,Aggregate evidence is plausible but too broad/non-specific for review reduction.,R53;R68;Z33;Z01;Z02,"The top diagnoses associated with code 906660 are primarily symptom/finding codes (R codes) and factor/status codes (Z codes) related to obstetric pregnancy. While these codes are plausible in this context, the specificity level is low, and the clinical context for their application is not detailed. The current evidence suggests that the code might be used for various reasons, some of which might not require specific coding or might be related to administrative factors. Therefore, maintaining manual review is recommended to ensure appropriate clinical application and avoid potential misuse or inappropriate billing. The confidence is high due to the aggregate data showing common diagnoses, but the lack of specificity warrants continued review.",False,False
22,700270,digestive,201,keep_manual_review_observation,medium,medium,completed,0.85,Aggregate evidence is plausible but too broad/non-specific for review reduction.,B07;B34;L84;L30;L85,"The aggregate data shows a plausible link to the 'digestive' theme, but the top diagnoses span multiple systems, and the connection to 'digestive' is not strong for all top codes. The theme is plausible but requires careful monitoring due to the breadth of conditions and potential for misclassification. The top diagnoses are diverse, and the 'digestive' theme is not dominant. Therefore, keeping manual review for observation is recommended.",False,False
29,908230,obstetric_pregnancy,166,keep_manual_review_observation,medium,medium,completed,0.85,Aggregate evidence is plausible but too broad/non-specific for review reduction.,N76;R10;N92;E55;N64,"The aggregate diagnosis distribution includes several plausible conditions related to pregnancy (N76.0, N93.9, O) and other health issues (R10.2, N92.6, E55.9, N64.5). The top diagnoses are reasonably common. However, the cohort is broad, spanning multiple body systems and pregnancy-related conditions. The clinical plausibility is maintained but requires careful observation due to the heterogeneity and lack of specific patient context. The SUT code is present in rules, and the runtime context suggests a manual review is needed. Given the medium risk and the need for observation, keeping the manual review is recommended. The prefixes are supported by the aggregate data, but the broad nature warrants continued monitoring. No immediate mapping issues are apparent, but the diversity of prefixes suggests potential future mapping challenges if the code were to be applied more broadly.",False,False
38,530080,genitourinary,10975,keep_manual_review_observation,medium_high,low,completed,0.85,Aggregate evidence is plausible but too broad/non-specific for review reduction.,J06;R50;R11;R10,"The aggregate diagnosis distribution shows a mix of respiratory (J), symptom/finding (R), and genitourinary (N) codes. While plausible, the top diagnoses are broad (e.g., R50.9, R11) and the prevalence of respiratory codes is notable given the 'genitourinary' clinical theme. The SUT code is present in the rules, and the diagnosis distribution is plausible but lacks specificity for the intended genitourinary focus. Given the lack of specificity and the presence of other code chapters, keeping the manual review observation is recommended to monitor the application and ensure clinical appropriateness. The top prefixes identified (J06, R50, R11, R10) are kept for review.",False,False
40,510120,genitourinary,6620,keep_manual_review_observation,medium_high,low,completed,0.85,Aggregate evidence is plausible but too broad/non-specific for review reduction.,R11;R50;J06;J02;R05,"The candidate code (510120) maps to a clinical theme of 'genitourinary'. The top diagnoses associated with this code are primarily broad symptom/finding codes (R codes) and respiratory codes (J codes), such as R11 (Unspecified abdominal pain), R50.9 (Fever, unspecified), J06.9 (Acute upper respiratory infection, unspecified), J02 (Acute pharyngitis), R05 (Cough), J20 (Acute bronchitis), R10.4 (Pain in throat), J39.9 (Unspecified disease of respiratory system), J30.2 (Acute sinusitis). While some of these symptoms *can* be related to genitourinary issues (e.g., pain, fever), they are non-specific and frequently associated with other systems. The diagnosis distribution is broad and lacks specificity for the genitourinary system. The clinical plausibility is considered plausible given the potential overlap, but the lack of specificity and the dominance of non-genitourinary symptoms/findings warrant caution. The diagnosis cohort safety is assessed as 'keep_manual_review' due to the broad nature of the top diagnoses and the need for clinical context to confirm genitourinary involvement. Mapping assessment is 'not_needed' as the code is present in rules by SUT code. The confidence is high (0.85) based on the aggregate data, but the lack of specificity necessitates continued manual review observation.",False,False
41,530160,genitourinary,5304,keep_manual_review_observation,medium_high,low,completed,0.85,Aggregate evidence is plausible but too broad/non-specific for review reduction.,J06;R11;J39;R05;R50,"The candidate code (530160) maps to a clinical theme of 'genitourinary'. The top diagnoses associated with this code are primarily broad symptom codes (R codes) and non-specific respiratory conditions (J codes). While the top diagnoses are plausible, they lack specificity, particularly for the stated genitourinary theme. The diagnosis cohort is broad, including respiratory symptoms, general symptoms, and some specific conditions like J06.9 (Acute upper respiratory infection, unspecified), R11 (Unspecified symptoms and signs involving the circulatory and respiratory systems), J39.9 (Unspecified disease of respiratory system), R05 (Cough), R50.9 (Unspecified fever), R10.4 (Headache), J20 (Acute bronchitis), J00 (Acute nasopharyngitis), J02 (Acute pharyngitis), E55.9 (Unspecified nutritional deficiency), and J06.9 (Acute upper respiratory infection, unspecified). The lack of specific genitourinary diagnoses in the top results raises concerns about the clinical focus. Given the broad nature of the top diagnoses and the lack of specificity, keeping the manual review is recommended for observation and potential policy refinement. The mapping assessment is 'not_needed' as the current mapping seems appropriate, but the clinical focus needs consideration. The confidence is high due to the clear association with the provided diagnoses, but the clinical utility for a specific genitourinary theme is questionable based on the top diagnoses.",False,False
43,905671,obstetric_pregnancy,3009,keep_manual_review_observation,medium,low,completed,0.75,Aggregate evidence is plausible but too broad/non-specific for review reduction.,R68;E55;N39;R10;Z00,"The candidate code (905671) maps to a set of diagnoses (R68, E55.9, N39.0, R10.4, Z00.0, Z33, R11, J06.9, R50.9, N30.0) which are clinically plausible in the context of obstetric pregnancy, although many are non-specific symptoms or conditions. The top diagnoses cover a range of symptom/finding codes, genitourinary issues, and endocrine/metabolic conditions. The distribution is relatively broad, with no single diagnosis dominating significantly (top share ~16.5%). The runtime rules flag this for review. Given the broad nature of the top diagnoses and the existing 'review_required' status, keeping manual review for observation is recommended to monitor for potential drift or unintended consequences before considering policy changes. The diagnoses are generally plausible, but the lack of specificity and the mix of pregnancy-related and non-specific codes warrant caution. Mapping assessment is 'not_needed' as the current codes are directly present in the rules.",False,False
46,801780,musculoskeletal,2212,keep_manual_review_observation,medium,low,completed,0.85,Aggregate evidence is plausible but too broad/non-specific for review reduction.,M79;M25;W19;S93,"The candidate code (801780) maps to a clinical theme of musculoskeletal conditions. The aggregate diagnosis distribution shows a concentration in musculoskeletal (M codes), injury/poisoning (S-T codes), and external causes (V-Y codes). The top diagnoses include broad categories like M79.9 (unspecified dorsalgia) and S93.4 (unspecified injury of muscle, fascia or tendon). While the distribution is plausible within the musculoskeletal theme, the lack of specificity and overlap across diagnostic chapters warrants continued manual review to ensure accurate coding and clinical relevance. The confidence is high due to the clear association with musculoskeletal themes and the presence of the code in runtime rules. However, the broad nature of the top diagnoses and the potential for overlap necessitate observation rather than immediate policy change or auto-application.",False,False
