sut_code,procedure_key,procedure_name,source_list,diagnosis_policy,required_icd10_patterns,excluded_icd10_patterns,required_diagnosis_groups,special_constraints,decision_if_missing,review_required,confidence,reason,source_evidence,quality_flags
510010,SUT::EK-2B::510010::4,Standart yatak tarifesi,EK-2B,not_required,[],[],[],{},NO_DIAGNOSIS_REQUIREMENT,False,high,"Standart yatak tarifesi, yemek, yatak ve hasta vizit hizmetlerini kapsar. Bu hizmetler genellikle tanıya bağlı değildir.","EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx, Satır 4: 'Yemek, yatak, hasta vizit hizmetlerini kapsar.'",[]
510121,SUT::EK-2B::510121::11,Refakat,EK-2B,not_required,[],[],[],{},NO_DIAGNOSIS_REQUIREMENT,False,high,"Refakat hizmeti, yemek ve yatak hizmetlerini kapsar. Bu hizmetin sunulması için belirli bir tanıya ihtiyaç duyulmamaktadır.","EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx, Satır 11: 'Yemek ve yatak hizmetlerini kapsar.'",[]
520020,SUT::EK-2B::520020::14,Acil poliklinik muayenesi,EK-2B,not_required,[],[],[],{},NO_DIAGNOSIS_REQUIREMENT,False,high,"Acil poliklinik muayenesi, tanı gerektirmeyen bir hizmettir.","EK-2B listesi, bu işlem için tanı gerekliliğinden bahsetmemektedir.",[]
520021,SUT::EK-2B::520021::15,Yeşil alan muayenesi,EK-2B,not_required,[],[],[],{},NO_DIAGNOSIS_REQUIREMENT,False,high,"Yeşil alan muayenesi, genellikle acil serviste triyaj sonrası yapılan, hastanın durumunun stabil olduğunu gösteren ve detaylı bir tanı gerektirmeyen bir işlemdir. SUT açıklamasında 'SUT ve eklerinde yer alan diğer işlemlerle birlikte faturalandırılmaz' ibaresi bulunmakta, bu da işlemle ilgili bir ödeme kuralını işaret…",SUT açıklaması: 'SUT ve eklerinde yer alan diğer işlemlerle birlikte faturalandırılmaz.',[]
520030,SUT::EK-2B::520030::16,Normal poliklinik muayenesi,EK-2B,not_required,[],[],[],{},NO_DIAGNOSIS_REQUIREMENT,False,high,"Normal poliklinik muayenesi, tanı gerektirmeyen bir işlemdir.","EK-2B listesi, bu işlem için tanı gerekliliğinden bahsetmemektedir.",[]
520050,SUT::EK-2B::520050::17,Sağlık kurulu raporu,EK-2B,not_required,[],[],[],{},NO_DIAGNOSIS_REQUIREMENT,False,high,"SUT açıklaması, ilaç ve malzeme temini için rapor ve muayene ücreti faturalandırmayı tanımlamaktadır. Bu, tanı ile doğrudan ilişkili bir işlem değildir.","EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx, Satır 17: 'İlaç ve malzeme temini için bir rapor ve bir muayene ücreti faturalandırılır.'",[]
520051,SUT::EK-2B::520051::18,Uzman hekim raporu,EK-2B,not_required,[],[],[],{},NO_DIAGNOSIS_REQUIREMENT,False,high,"SUT kodu 520051, 'Uzman hekim raporu' işlemidir. Bu işlem, bir hizmetin sunulması için gerekli olan bir belgedir ve başlı başına bir tanı veya klinik durum değildir. Bu nedenle, ICD-10 tanısı gerektirmez.","EK-2B listesi, 520051 kodunu 'Uzman hekim raporu' olarak tanımlamaktadır.",[]
530140,SUT::EK-2B::530140::38,İntramusküler enjeksiyon,EK-2B,not_required,[],[],[],{},NO_DIAGNOSIS_REQUIREMENT,False,high,"İntramusküler enjeksiyon, temel bir uygulama işlemidir ve genellikle belirli bir tanıya bağlı değildir. SUT açıklamasında tanı gerekliliğine dair bir ifade bulunmamaktadır.",SUT açıklaması sadece 'Günde üç adetten fazla faturalandırılmaz' şeklinde bir kısıtlama içermektedir.,[]
530150,SUT::EK-2B::530150::39,İntravenöz enjeksiyon,EK-2B,not_required,[],[],[],{},NO_DIAGNOSIS_REQUIREMENT,False,high,"İntravenöz enjeksiyon, temel bir uygulama işlemidir ve genellikle belirli bir tanıya bağlı değildir. EK-2B listesinde, bu işlem için tanı gerekliliği belirtilmemiştir.","EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx, satır 39: 'İntravenöz enjeksiyon'.",[]
530390,SUT::EK-2B::530390::60,Subkütan enjeksiyon,EK-2B,not_required,[],[],[],{},NO_DIAGNOSIS_REQUIREMENT,False,high,"Subkütan enjeksiyon, temel bir uygulama işlemidir ve genellikle belirli bir tanıya bağlı değildir. SUT açıklamasında tanı gerekliliğine dair bir ifade bulunmamaktadır.",SUT açıklaması sadece günde en fazla üç adet faturalandırılabileceğini belirtmektedir.,[]
