huv_code,procedure_key,procedure_name,diagnosis_policy,required_icd10_patterns,excluded_icd10_patterns,decision_if_missing,review_required,confidence,reason,source_evidence,quality_flags
01.14285,HUV::01.14285,Gündüz,not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, muayene zamanını (gündüz) belirtir ve tanısal bir işlem değildir. Uygulama yolu/teknik bilgisi verir.",İşlem tanımı: 'Gündüz : Saat 08:00-20:00 arasıdır.',
01.17856,HUV::01.17856,Gece,not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, muayene zamanını (gece) belirtmekte olup, uygulama yolu/teknik olarak tanımlanabilir. Klinik bir tanı gerektirmez.",İşlem tanımı: 'Gece: Saat 20:00-08:00 arasıdır.',
01.39282,HUV::01.39282,Gündüz,not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, muayenenin zamanlamını (gündüz) belirtir ve uygulama yolu/teknik bilgisi içerir. Klinik bir tanı gerektirmez.",İşlem açıklaması: 'Gündüz : Saat 08:00-20:00 arasıdır.' Muayene zamanlaması.,
01.42853,HUV::01.42853,Gece,not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, muayene zamanını (gece) belirtir ve uygulama yolu/teknik bilgisi içerir. Klinik bir tanıya işaret etmez.",İşlem tanımı: 'Gece: Saat 20:00-08:00 arasıdır.' Muayene zamanını belirtir.,
01.64279,HUV::01.64279,Gündüz,not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,İşlem tanısı gerektirmeyen bir uygulama yolu/tekniktir (gündüz muayenesi).,HUV işlem tanımı ve örnekler.,
01.67850,HUV::01.67850,Gece,not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, hastanın isteği dışında, hasta hekiminin lüzum görmesi nedeniyle başka bir hekim tarafından yapılan bir muayenedir. Muayene, tanıdan bağımsız olarak uygulanabilir.",HUV işlem tanımı ve ilgili mevzuat.,
01.74992,HUV::01.74992,Gündüz,not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, tanıdan bağımsız bir uygulama yolu/tekniktir (gündüz muayenesi).",İşlem tanımı ve notlar.,
01.78563,HUV::01.78563,Gece,not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, muayene hizmetinin zamanlamına (resmi tatil günleri) ilişkin bir uygulamadır ve tanıdan bağımsızdır.",İşlem tanımı ve notları.,
01.89276,HUV::01.89276,"Hastanede izlem, günlük",not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, hastanede yatan hastaların izlenmesi için yapılan bir muayenedir. Tanı gerektirmez.",HUV işlem tanımı ve notu.,
01.91061,HUV::01.91061,"Hastanede izlem, kısa süreli",not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, hastanede kısa süreli (2-8 saat) izlem olup, tanıdan bağımsız bir uygulamadır. İzlem sırasında yapılan muayeneler ayrı işlem olarak değerlendirilmez.",HUV işlem tanımı ve Yatan Hasta Muayenesi/İzlemi tanımı.,
01.92847,HUV::01.92847,"Hastanın bulunduğu yerde izlem, günlük",not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, hastanın bulunduğu yerde yapılan bir izlemdir. İzlem süreci boyunca yapılan muayeneler ayrı işlem olarak değerlendirilmez. Tanı gereksinimi yoktur.",HUV işlem tanımı ve açıklamaları.,
01.92947,HUV::01.92947,"Hastanın bulunduğu yerde izlem, kısa süreli",not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, hastanın bulunduğu yerde kısa süreli (2-8 saat) izlem olup, tanıdan bağımsız bir uygulamadır. İzlem sırasında yapılan muayeneler ayrı işlem olarak değerlendirilmez.","HUV İşlem Tanımları, Yatan Hasta Muayenesi/İzlemi tanımı.",
01.93200,HUV::01.93200,"Doğal ölü muayenesi ve/veya defin izin raporu, ölünün bulunduğu yerde, gündüz",not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, doğal ölümün muayenesi ve defin izni raporu düzenlemesi olup, tanısal bir işlem değildir. Uygulama yolu/teknik olarak tanımlanabilir.",İşlem tanımı ve amacı.,
01.93300,HUV::01.93300,"Doğal ölü muayenesi ve/veya defin izin raporu, ölünün bulunduğu yerde, gece",not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, doğal ölümün muayenesi ve defin izni raporu düzenlemesi olup, bir tanıya bağlı değildir. Uygulama yolu/teknik bir işlemdir.","İşlem tanımı, tanısal veya tedavi edici bir müdahale içermemektedir.",
02.01361,HUV::02.01361,"Enjeksiyon, intramusküler/subkutan/intrakutan",not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, uygulama yolu/tekniğini tanımlayan genel bir işlemdir (enjeksiyon). Yatan hastada günlük tedavi ve takip hizmeti kapsamında değerlendirilir veya ayaktan uygulanırsa liste birimi ile ücretlendirilir.",HUV işlem tanımı,
02.02041,HUV::02.02041,"Enjeksiyon, intramusküler (IM), evde",not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İntramusküler enjeksiyon, uygulama yolu/tekniği olup tanı gerektirmez.","İşlem adı sadece uygulama yöntemini belirtir, altta yatan bir klinik durumu ifade etmez.",
02.03401,HUV::02.03401,"Enjeksiyon, intravenöz , evde",not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem yalnızca uygulama yolu/teknik (intravenöz enjeksiyon) belirtiyor ve evde yapılıyor. Bu, tanıdan bağımsız bir uygulamadır.",İşlem adı ve açıklaması.,
02.04081,HUV::02.04081,"Enjeksiyon, intravenöz, yenidoğan",not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, intravenöz enjeksiyon yolu/tekniğini tanımlamaktadır ve spesifik bir tanıya bağlı değildir.",İşlem adı sadece uygulama yöntemini belirtir.,
02.04761,HUV::02.04761,İntravenöz (İV) ilaç enjeksiyonu / infüzyonu,not_required,,,NO_DIAGNOSIS_REQUIREMENT,False,high,"İşlem, uygulama yolu/tekniğini tanımlayan genel bir işlemdir (İV ilaç enjeksiyonu/infüzyonu). Tanı gerektirmez.","İşlem tanımı: 'Bu işlem, uygulandığı tüm servislerde, iv damar yolu açık bulunan ve/veya yatan hasta günlük tedavi ve takibi hizmeti girilen hastalarda, (ilgili tanımda aksine açıklama yoksa) bu hizmetin kapsamındadır, ek işlem olarak değe…",
