sut_code,procedure_key,procedure_name,source_list,diagnosis_policy,required_icd10_patterns,excluded_icd10_patterns,required_diagnosis_groups,special_constraints,decision_if_missing,review_required,confidence,reason,source_evidence,quality_flags
510070,SUT::EK-2B::510070::5,Kuvöz,EK-2B,review_required,[],[],[],"{""age_max"": 1}",REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,"EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx, Satır 5: 'Yemek, yatak, hasta vizit hizmetlerini kapsar.'",[]
510081,SUT::EK-2B::510081::6,Kot (beşik),EK-2B,conditional,[],[],[],"{""required_clinical_evidence_terms"": [""Anne yanında izlenen bebekler için faturalandırılmaz.""]}",REVIEW_REQUIRED,True,medium,"EK-2B kural baglami rapor, tibbi gerekce, klinik kanit veya kurum sarti iceriyor; acik ICD-10 zorunlulugu bulunmadigi icin uzman incelemesi gerekir.",Anne yanında izlenen bebekler için faturalandırılmaz.,[]
510090,SUT::EK-2B::510090::7,Yoğun bakım,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,"Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (mekanik ventilator, oksijen tedavisi, ventilator, yogun bakim).","EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx, Satır 7",[]
510100,SUT::EK-2B::510100::8,Steril oda,EK-2B,review_required,[],[],[],"{""age_min"": null, ""age_max"": null, ""allowed_sexes"": [], ""required_documents"": [], ""required_clinical_evidence_terms"": [""İki haftayı geçmesi beklenen mutlak nötropenik hastalar için faturalandırılır.""], ""facility_level_terms"": [], ""report_terms"": [], ""other_conditions"": []}",REVIEW_REQUIRED,True,medium,"Steril oda hizmeti, mutlak nötropenik hastalar için tanımlanmıştır. Bu durum, belirli bir klinik tabloya işaret eder ve tanı gerektirebilir. Ancak, kesin tanı gereksinimi belirsizdir.","EK-2B listesi, 'İki haftayı geçmesi beklenen mutlak nötropenik hastalar için faturalandırılır.' ifadesini kullanır.",[]
510110,SUT::EK-2B::510110::9,İzole radyoaktif tedavi odası,EK-2B,conditional,[],[],[],"{""facility_level_terms"": [""EK-2B kaynak kuralinda kurum basamagi/tesis sarti var""]}",REVIEW_REQUIRED,True,medium,"EK-2B kural baglami rapor, tibbi gerekce, klinik kanit veya kurum sarti iceriyor; acik ICD-10 zorunlulugu bulunmadigi icin uzman incelemesi gerekir.",İzole radyoaktif tedavi hizmeti Türkiye Atom Enerjisi Kurumu tarafından lisanslandırılmış odalarda sunulur.,[]
510120,SUT::EK-2B::510120::10,Gündüz yatak tarifesi,EK-2B,conditional,[],[],[],"{""required_clinical_evidence_terms"": [""Gündüz yatak tarifesi Günübirlik tedaviler, 24 saatten kısa süren yatarak tedaviler, acil müşahade için faturalandırılır.""]}",REVIEW_REQUIRED,True,medium,"EK-2B kural baglami rapor, tibbi gerekce, klinik kanit veya kurum sarti iceriyor; acik ICD-10 zorunlulugu bulunmadigi icin uzman incelemesi gerekir.","Gündüz yatak tarifesi Günübirlik tedaviler, 24 saatten kısa süren yatarak tedaviler, acil müşahade için faturalandırılır.",[]
520010,SUT::EK-2B::520010::13,Konsültasyon (Her bir hekim için),EK-2B,conditional,[],[],[],"{""required_clinical_evidence_terms"": [""Hekim branşı yazılmalıdır.""]}",REVIEW_REQUIRED,True,medium,"EK-2B kural baglami rapor, tibbi gerekce, klinik kanit veya kurum sarti iceriyor; acik ICD-10 zorunlulugu bulunmadigi icin uzman incelemesi gerekir.",Hekim branşı yazılmalıdır.,[]
520052,SUT::EK-2B::520052::19,Meslek hastalıklarının tespiti için hekim görüş raporu,EK-2B,review_required,[],[],[],"{""age_min"": null, ""age_max"": null, ""allowed_sexes"": [], ""required_documents"": [], ""required_clinical_evidence_terms"": [""Meslek hastalıklarının tespiti için hekim görüş raporu"", ""Sağlık Bakanlığı meslek hastalıkları hastaneleri ile Kurumca sevk edilen hastalar için devlet üniversite hastanelerince faturalandırılır.""], ""facility_level_terms"": [""EK-2B kaynak kuralinda kurum basamagi/tesis sarti var""], ""report_terms"": [], ""other_conditions"": []}",REVIEW_REQUIRED,True,high,"Hizmet, meslek hastalığı teşhisi için hekim görüş raporu gerektiriyor. Bu, bir tanı gerektirebilir, ancak SUT tanısı belirtmiyor. Bu nedenle, tanı gereksinimi uzman incelemesi gerektiriyor.","EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx, Satır 19: 'Meslek hastalıklarının tespiti için hekim görüş raporu'.",[]
520070,SUT::EK-2B::520070::20,Genel anestezi altında muayene,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,EK-2B listesinde 'Genel anestezi altında muayene' olarak tanımlanmıştır.,[]
520080,SUT::EK-2B::520080::21,Birinci basamak poliklinik muayenesi,EK-2B,conditional,[],[],[],"{""facility_level_terms"": [""EK-2B kaynak kuralinda kurum basamagi/tesis sarti var""]}",REVIEW_REQUIRED,True,medium,"EK-2B kural baglami rapor, tibbi gerekce, klinik kanit veya kurum sarti iceriyor; acik ICD-10 zorunlulugu bulunmadigi icin uzman incelemesi gerekir.",EK-2B 520080 Birinci basamak poliklinik muayenesi Birinci basamak sağlık kuruluşlarında,[]
520090,SUT::EK-2B::520090::22,Birinci basamaktan sevk halinde poliklinik muayenesi,EK-2B,conditional,[],[],[],"{""required_clinical_evidence_terms"": [""Birinci basamaktan sevk halinde poliklinik muayenesi""]}",REVIEW_REQUIRED,True,medium,"EK-2B kural baglami rapor, tibbi gerekce, klinik kanit veya kurum sarti iceriyor; acik ICD-10 zorunlulugu bulunmadigi icin uzman incelemesi gerekir.",Birinci basamaktan sevk halinde poliklinik muayenesi,[]
530015,SUT::EK-2B::530015::24,Ketojenik diyet tedavisi,EK-2B,review_required,[],[],[],"{""age_min"": null, ""age_max"": null, ""allowed_sexes"": [], ""required_documents"": [], ""required_clinical_evidence_terms"": [""Üçüncü basamak sağlık hizmeti sunucularınca, çocuk nöroloji uzmanı tarafından yapılması halinde, yılda iki defa faturalandırılır.""], ""facility_level_terms"": [""ucuncu basamak"", ""EK-2B kaynak kuralinda kurum basamagi/tesis sarti var""], ""report_terms"": [], ""other_conditions"": [""uzman"", ""cocuk""]}",REVIEW_REQUIRED,True,medium,"Ketojenik diyet tedavisi, çocuk nöroloji uzmanı tarafından üçüncü basamak sağlık hizmeti sunucularında yapılması halinde yılda iki defa faturalandırılabilir. Açık bir ICD-10 tanı şartı belirtilmemiştir, ancak uzman ve üçüncü basamak sağlık hizmeti sunucusu şartları bulunmaktadır. Bu nedenle, klinik gerekçenin değerlen…","EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx, satır 24: 'Üçüncü basamak sağlık hizmeti sunucularınca, çocuk nöroloji uzmanı tarafından yapılması halinde, yılda iki defa faturalandırılır.'",[]
530020,SUT::EK-2B::530020::25,"Apse veya hematom drenajı, derin (Organ ve derin yumuşak doku)",EK-2B,review_required,"[""L02.*"", ""K61.*"", ""T14.0""]",[],[],{},REVIEW_REQUIRED,True,medium,"Bu işlem, apse veya hematom drenajını içerir. Bu tür prosedürler genellikle tanı gerektirmez, ancak klinik bir durumun sonucu olarak yapılırlar. EK-2B listesi, bu işlem için tanı gerekliliğini belirtmemektedir.","EK-2B listesi, 530020 kodlu 'Apse veya hematom drenajı, derin (Organ ve derin yumuşak doku)' işleminin faturalandırılmasına ilişkin bir kural içermektedir. Bu işlem, başka bir kod altında özel olarak belirtilmemişse, bu kod ile faturalandırılabilir.","[""broad_icd10_pattern_removed:S00-T98""]"
530030,SUT::EK-2B::530030::26,"Apse veya hematom drenajı, yüzeyel (Deri ve subkütan dokular)",EK-2B,review_required,"[""L02.*"", ""K61.*"", ""T14.0""]",[],[],{},REVIEW_REQUIRED,True,medium,"Bu işlem, yüzeyel dokulardaki apse veya hematomun drenajını içerir. Bu tür bir işlem genellikle tanıya bağlı değildir ve acil durumlarda veya klinik bir bulguya yanıt olarak gerçekleştirilebilir.","SUT açıklaması, işlemin tanısı hakkında özel bir gereklilik belirtmemektedir.","[""broad_icd10_pattern_removed:S00-T98""]"
530050,SUT::EK-2B::530050::27,"Biyopsi, iğne",EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (biyopsi).,"SUT açıklaması, bu işlem için tanı gerekliliğini belirtmemektedir.",[]
530060,SUT::EK-2B::530060::28,"Biyopsi, derin (Cerrahi)",EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,"Biyopsi işlemi, tanısal veya terapötik amaçlarla yapılabilir. İşlemin uygunluğunu belirlemek için klinik bağlam ve tanı gereklidir.","SUT açıklaması işlem tanısı belirtmiyor. EK-2B listesi de tanı gerekliliğini belirtmiyor. Ancak, 'Biyopsi' işlemi genellikle bir tanı veya tedavi planlaması için yapılır.",[]
530070,SUT::EK-2B::530070::29,"Biyopsi, yüzeyel (Deri veya derialtı)",EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (biyopsi).,"SUT kodu 530070, EK-2B listesinde yer almaktadır. Bu tür işlemler genellikle tanısal amaçla yapılır ancak ödeme için tanı zorunluluğu bulunmamaktadır.",[]
530080,SUT::EK-2B::530080::30,Damar yolu açılması,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,"SUT açıklaması, bu işlem için tanı gerekliliğinden bahsetmemektedir.",[]
530085,SUT::EK-2B::530085::31,İntraosseoz infüzyon uygulaması,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,"Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (infuzyon, intraosseoz).","EK-2B listesi, 530085 kodunu 'İntraosseoz infüzyon uygulaması' olarak tanımlamaktadır. Bu işlem, bir damar yolu oluşturma tekniğidir ve genellikle belirli bir tanıya bağlı değildir.",[]
530090,SUT::EK-2B::530090::32,Diyabetli hasta eğitimi,EK-2B,required_any,"[""E10"", ""E11"", ""E12"", ""E13"", ""E14"", ""O24.4""]",[],[],{},REVIEW_REQUIRED,True,medium,"Hasta eğitimi hizmeti, genellikle altta yatan bir klinik duruma (diyabet gibi) veya sağlık sorununa (gebelik diyabeti gibi) karşılık gelir. Bu nedenle, hizmetin uygunluğunu değerlendirmek için bir tanı gereklidir.","SUT kodu 'Diyabetli hasta eğitimi' olarak tanımlanmıştır. Bu, hizmetin diyabetle ilgili olduğunu gösterir. Diyabet tanısı, ICD-10 kodları E10-E14 veya ilgili kodlarla (örn. O24.4, O99.211) temsil edilir.","[""invalid_icd10_pattern:O99.211""]"
530095,SUT::EK-2B::530095::33,Diyabetik ayak korunma ve tedavi eğitimi,EK-2B,required_any,"[""E10"", ""E11""]",[],[],"{""facility_level_terms"": [""EK-2B kaynak kuralinda kurum basamagi/tesis sarti var""]}",REVIEW_REQUIRED,True,medium,"İşlem adı 'Diyabetik ayak' içeriyor. Bu, diyabetle ilgili bir durumu ima ediyor. Bu nedenle, diyabet tanısı (ICD-10 kodları E10-E11) gereklidir.",SUT adı 'Diyabetik ayak korunma ve tedavi eğitimi' içeriyor.,[]
530100,SUT::EK-2B::530100::34,Elektrokardiyogram,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,"EK-2B listesi, 530100 kodunu '12 derivasyonlu, EKG trase çekimi' olarak tanımlamaktadır. Açıklamada tanı gerekliliğine dair bir ifade bulunmamaktadır.",[]
530110,SUT::EK-2B::530110::35,Enteral hiperelimentasyon takibi,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,"Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (enteral, hiperelimentasyon).","SUT açıklaması, bu işlem için tanı gerekliliğinden bahsetmemektedir.",[]
530120,SUT::EK-2B::530120::36,"Fototerapi, seans",EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (fototerapi).,"EK-2B listesi, 530120 (Fototerapi, seans) için tanı gerekliliği belirtmemektedir.",[]
530130,SUT::EK-2B::530130::37,Hastanın mekanik ventilatöre bağlanması,EK-2B,review_required,[],[],[],"{""required_clinical_evidence_terms"": [""Sadece endotrakeal entübasyonlu veya trakeostomi açılan hastalarda faturalandırılır.""]}",REVIEW_REQUIRED,True,medium,"Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (entubasyon, mekanik ventilator, ventilator).","EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx, Satır 37: 'Sadece endotrakeal entübasyonlu veya trakeostomi açılan hastalarda faturalandırılır.'",[]
530160,SUT::EK-2B::530160::40,İntravenöz ilaç infüzyonu,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (infuzyon).,"SUT açıklaması sadece 'İlaç, kan ürünleri' ifadesiyle uygulama alanını belirtmektedir, tanı gerekliliğinden bahsetmemektedir.",[]
530161,SUT::EK-2B::530161::41,Ekulizumab uygulaması,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,SUT açıklaması ilaç uygulamasını tanımlar ve ilaç uygulamaları için tanı gerekliliği belirtmez.,[]
530180,SUT::EK-2B::530180::42,Kan veya kan bileşenleri transfüzyonu,EK-2B,review_required,[],[],[],"{""facility_level_terms"": [""EK-2B kaynak kuralinda kurum basamagi/tesis sarti var""]}",REVIEW_REQUIRED,True,medium,"Kan transfüzyonu, altta yatan klinik duruma bağlı olarak yapılır. Transfüzyonun nedenini belirlemek için tanı gereklidir. Açık bir ICD-10 tanısı gerekliliği belirtilmediği için inceleme gereklidir.","EK-2B listesi, 530180 kodunu 'Kan veya kan bileşenleri transfüzyonu' olarak tanımlar. Transfüzyonun nedenini belirlemek için tanı gereklidir.",[]
530190,SUT::EK-2B::530190::43,Kesi onarımı,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,"EK-2B listesi, işlem için tanı gerekliliğini belirtmemektedir.",[]
