huv_code,procedure_key,procedure_name,diagnosis_policy,required_icd10_patterns,excluded_icd10_patterns,decision_if_missing,review_required,confidence,reason,source_evidence,quality_flags
01.24998,HUV::01.24998,Gündüz,review_required,,,REVIEW_REQUIRED,True,medium,İşlem yalnızca uygulama yolu/teknik tanımlamaktadır; klinik bağlam içermemektedir.,İşlem adı ve açıklaması.,clinical_anchor_but_not_required
01.28569,HUV::01.28569,Gece,review_required,,,REVIEW_REQUIRED,True,medium,İşlem yalnızca uygulama yolu/teknik tanımlamaktadır (gece muayenesi). Klinik bağlam içermemektedir.,İşlem açıklaması: 'Gece: Saat 20:00-08:00 arasıdır.',clinical_anchor_but_not_required
01.49995,HUV::01.49995,Gündüz,review_required,,,REVIEW_REQUIRED,True,medium,"İşlem, muayene günü ve yeri ile ilgili bir uygulama yolunu/tekniği tanımlamaktadır. Klinik bir bağlam veya tanı gerektirmez.",İşlem açıklaması: 'Gündüz : Saat 08:00-20:00 arasıdır.Gece: Saat 20:00-08:00 arasıdır.',clinical_anchor_but_not_required
01.53566,HUV::01.53566,Gece,review_required,,,REVIEW_REQUIRED,True,medium,"İşlem, muayene uygulama yolu/tekniği tanımlamaktadır; tanı gerektirmez.",İşlem adı 'Gece' ve açıklaması 'Hastanın Bulunduğu Yerde' muayene uygulama zamanını ve yerini belirtir. Klinik bağlam içermez.,clinical_anchor_but_not_required
02.20401,HUV::02.20401,Rektal tuşe ile yabancı cisim veya dışkı taşı (fekalom) çıkarılması,required_any,T18.5; K56.4; K59.0,,REVIEW_REQUIRED,True,high,"İşlem, rektumdan yabancı cisim veya fekalom (dışkı taşı) çıkarılmasını içerir. Bu durum, yaralanma (T18.5), barsak tıkanıklığı (K56.4) veya kabızlık (K59.0) gibi altta yatan bir tanıya işaret edebilir. Bu nedenle, tanı gereklidir.","İşlem tanımı, yabancı cisim veya fekalom çıkarılmasını içerir. Fekalom, kabızlık veya barsak tıkanıklığı ile ilişkili olabilir. Yabancı cisim, yaralanma sonucu oluşmuş olabilir.",
02.25161,HUV::02.25161,Vulva apse veya hematom drenajı,required_any,N76.4,,REVIEW_REQUIRED,True,medium,"Vulva apse veya hematom drenajı, tanı gerektirir. Apse veya hematomun varlığı, prosedürün gerekçesi ve uygunluğudur.","ICD-10 kodlama yönergeleri ve tıbbi uygulamalar, cerrahi drenaj prosedürlerinin altta yatan patolojiye (apse, hematom) bağlı olduğunu belirtir.",vulvar_hematoma_needs_expert_mapping
02.31281,HUV::02.31281,Perikardiyosentez (ilk işlem),required_any,I00-I99,,NOT_PAYABLE_BY_DIAGNOSIS,True,medium,"Perikardiyosentez, perikardiyal hastalıkların (örn. perikardit, perikardiyal efüzyon) tedavisinde kullanılan bir işlemdir. Bu hastalıklar genellikle kardiyovasküler sistemle ilgilidir.",ICD-10 kodları ve tıbbi terminoloji.,broad_icd10_pattern:I00-I99
02.34001,HUV::02.34001,İntravenöz trombolitik tedavi uygulama protokolü ve takibi,required_any,I25; I26; I27; I28; I45; I46; I47; I48; I50; I51; I52; I60; I61; I62; I63; I64; I65; I66; I67; I68; I69; I70; I71; I72; I73; I74; I77; I78; I79; I80; I81; I82; I83; I84; I85; I86; I87; I88; I89; I95; I97; I98; I99,,NOT_PAYABLE_BY_DIAGNOSIS,True,medium,"İntravenöz trombolitik tedavi, genellikle akut koroner sendrom, inme veya pulmoner emboli gibi kardiyovasküler aciller için uygulanır. Bu durumlar, I00-I99 ICD kodları kapsamında değerlendirilir.","İntravenöz trombolitik tedavi kılavuzları ve uygulama protokolleri, bu tedavinin genellikle belirli kardiyovasküler hastalıklar için kullanıldığını belirtir.",invalid_icd10_pattern:I29; invalid_icd10_pattern:I53; invalid_icd10_pattern:I54; invalid_icd10_pattern:I55; invalid_icd10_pattern:I56; invalid_icd10_pattern:I57; invalid_icd10_pattern:I58; invalid_icd10_pattern:I59; invalid_icd10_pattern:I75; invalid_icd10_pattern:I76; invalid_icd10_pattern:I90; invalid_icd10_pattern:I91; invalid_icd10_pattern:I92; invalid_icd10_pattern:I93; invalid_icd10_pattern:I94; invalid_icd10_pattern:I96
02.36041,HUV::02.36041,"Geçici transvenöz kalp pili, atriyal veya ventriküler (ilk işlem)",required_any,I45.*; I46.*; I47.*; I48.*; I49.*; I50.*; I51.*; I52.*; I60.*; I61.*; I62.*; I63.*; I64.*; I65.*; I66.*; I67.*; I68.*; I69.*; I70.*; I71.*; I72.*; I73.*; I74.*; I77.*; I78.*; I79.*; I80.*; I81.*; I82.*; I83.*; I84.*; I85.*; I86.*; I87.*; I88.*; I89.*; I95.*; I97.*; I98.*; I99.*,,NOT_PAYABLE_BY_DIAGNOSIS,True,medium,"Geçici kalp pili, kalp rahatsızlıkları veya kalp ritim bozuklukları gibi kardiyak sorunlar için kullanılır. Bu nedenle, bir tanı gereklidir.",Kardiyoloji uygulamaları ve kalp pili yerleştirme kılavuzları.,invalid_icd10_pattern:I53.*; invalid_icd10_pattern:I54.*; invalid_icd10_pattern:I55.*; invalid_icd10_pattern:I56.*; invalid_icd10_pattern:I57.*; invalid_icd10_pattern:I58.*; invalid_icd10_pattern:I59.*; invalid_icd10_pattern:I75.*; invalid_icd10_pattern:I76.*; invalid_icd10_pattern:I90.*; invalid_icd10_pattern:I91.*; invalid_icd10_pattern:I92.*; invalid_icd10_pattern:I93.*; invalid_icd10_pattern:I94.*; invalid_icd10_pattern:I96.*
02.38081,HUV::02.38081,"Aurikula apse, hematom drenajı",required_any,L00-L99,,NOT_PAYABLE_BY_DIAGNOSIS,True,medium,"Aurikula apse/hematom drenajı, altta yatan bir enfeksiyon veya inflamatuar durumun varlığını gerektirir. Bu nedenle tanı gereklidir.","Klinik uygulama kılavuzları ve kodlama yönergeleri, apse/hematom drenajı gibi cerrahi işlemlerin, ilgili tanısal kodlarla desteklenmesini gerektirir.",broad_icd10_pattern:L00-L99
02.41481,HUV::02.41481,Burundan yabancı cisim çıkarılması,review_required,,,REVIEW_REQUIRED,True,medium,"İşlem, yabancı cismin çıkarılması gibi yalnızca uygulama yolu/tekniği tanımlamaktadır. Tanı gerektirmez.","İşlem adı, tanısal bir durum belirtmemektedir.",clinical_anchor_but_not_required
02.42841,HUV::02.42841,DKY’dan yabancı cisim çıkarılması,review_required,,,REVIEW_REQUIRED,True,medium,"İşlem, yabancı cismin çıkarılmasını içerir ve bu, bir uygulama yolu/tekniktir. Klinik bağlam belirtilmemiş veya işlem adı tanı içermemektedir.",İşlem adı ve tanımı.,clinical_anchor_but_not_required
